4387-1083,BÜYÜKADA DA GÖKHANDAN AND.KLÜBÜ YANINDA1+1 Y.GİRİŞ DAİRE,İstanbul,Adalar,Büyükada-Nizam,16.12.2018,1+1,75 m²,1.800 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/28807459
4387-535,GÖKHAN'dan BÜYÜKADA'da KUMSALDA YILLIK 3+1 KAT,İstanbul,Adalar,Büyükada-Maden,14.12.2018,3+1,160 m²,2.700 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/11343662
26825-642,KUMSAL'DA DÜZ AYAK MANZARALI 2+1 YAZ-KIŞ KİRALIK ÜSTKATDAİRE,İstanbul,Adalar,Büyükada-Maden,19.12.2018,2+1,70 m²,1.800 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32178968
4387-1190,BÜYÜKADA NİZAMDA GÖKHANDAN MANZARALI DUBLEKS DAİRE,İstanbul,Adalar,Büyükada-Nizam,14.12.2018,3+1,150 m²,3.900 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/32029782
96953-80,"ANADOLU EMLAKTAN, HEYBELİADA DA, EŞYALI , KİRALIK DAİRE.",İstanbul,Adalar,Heybeliada,16.12.2018,1+1,55 m²,1.500 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-heybeliada-emlakcidan-daire/detay/31991389
10098-265,BÜYÜKADA TİVOLİS EMLAKTAN KİRALIK HAVUZLU BAHÇE KATI,İstanbul,Adalar,Büyükada-Maden,19.12.2018,2+1,90 m²,1.900 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/30269429
10098-241,BÜYÜK ADA TİVOLİS EMLAKDAN KİRALIK DAİRE,İstanbul,Adalar,Büyükada-Nizam,19.12.2018,3+1,120 m²,2.200 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/27275454
54895-609,PLANET'TN YENİ BİNA BÜYÜK BAHÇELİ DENİZ MANZRLI BAHÇEKATI YALI D,İstanbul,Adalar,Büyükada-Maden,10.12.2018,3+1,150 m²,3.250 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31987003
67104-999,BÜYÜKADA'DA KAÇIRILMAYACAK FIRSAT!,İstanbul,Adalar,Büyükada-Maden,17.12.2018,5+1,250 m²,4.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31740002
4387-1025,BÜYÜKADADA GÖKHANDAN BAHÇELİ 3+1 YAZLIK EV,İstanbul,Adalar,Büyükada-Maden,14.12.2018,3+1,85 m²,11.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/25377795
26825-653,ŞAHANE ORMAN VE DENİZ MANZARALI ÇOK TEMİZ 4+1 DUBLEKS DAİRE,İstanbul,Adalar,Büyükada-Maden,28.11.2018,4+1,200 m²,2.600 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32340943
10098-275,BÜYÜK ADA TİVOLİS EMLAKDAN KİRALIK HAVUZLU DAİRE,İstanbul,Adalar,Büyükada-Maden,19.12.2018,3+1,140 m²,3.250 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31747159
10098-233,TİVOLİS EMLAKTAN KİRALIK,İstanbul,Adalar,Büyükada-Maden,19.12.2018,2+1,75 m²,1.950 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/26791322
4387-1201,BÜYÜKADA DA KUMSALDA GÖKHANDAN YILLIK KOMBİLİ BALKONLU DAİRE,İstanbul,Adalar,Büyükada-Maden,14.12.2018,2+1,85 m²,1.600 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32374785
26825-632,MERKEZE 10 DAKİKA MESAFEDE 2+1 YAZ-KIŞ SIFIR DAİRE,İstanbul,Adalar,Büyükada-Maden,17.12.2018,2+1,90 m²,1.850 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31871752
10098-270,BÜYÜK ADA TİVOLİS EMLAKDAN KİRALIK YAZLIK DAİRE,İstanbul,Adalar,Büyükada-Maden,19.12.2018,4+1,160 m²,32.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/30580170
26825-602,MADENDE HAVUZLU VE BAHÇELİ DENİZ MANZARALI YAZKIŞ 3+1 BAHÇEKATI,İstanbul,Adalar,Büyükada-Maden,17.12.2018,3+1,140 m²,2.900 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31224019
4387-1200,BÜYÜKADADA GÖKHANDAN 1+1 FERAH YENİ BAHÇE KATI,İstanbul,Adalar,Büyükada-Maden,14.12.2018,1+1,75 m²,1.600 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32355711
96953-84,ANADOLU EMLAK DA SEZONLUK KİRALIK DAİRE YAZ KIŞ FUL EŞYAlLI DAIR,İstanbul,Adalar,Kınalıada,20.12.2018,2+1,75 m²,1.250 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-kinaliada-emlakcidan-bina/detay/32053066
39631-431,DERİŞ'DEN MERKEZE YAKIN MASRAFSIZ DAİRE,İstanbul,Adalar,Büyükada-Maden,10.12.2018,3+1,100 m²,2.500 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/18581228
39778-2692,Kınalıada Da Sezonluk Teras,İstanbul,Adalar,Kınalıada,18.12.2018,1+1,60 m²,7.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-kinaliada-emlakcidan-daire/detay/32096406
4387-1029,BÜYÜKADADA GÖKHANDAN BAHÇELİ MANZARALI KÖŞK DAİRESİ,İstanbul,Adalar,Büyükada-Maden,14.12.2018,3+1,110 m²,20.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/25633654
96953-39,BÜYÜKADA DA İSKELEYE ON DAKİKA MESAFEDE KİRALIK DAİRE,İstanbul,Adalar,Büyükada-Maden,19.12.2018,2+1,70 m²,1.400 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/30564332
4387-1115,"BÜYÜKADADA GÖKHANDAN YILLIKKOMBİLİ,BAHÇEL MANZ.LI KÖŞK DAİRESİ",İstanbul,Adalar,Büyükada-Maden,14.12.2018,2+1,85 m²,2.250 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/30392711
26825-625,KUMSAL'DA DÜZ AYAK 2+1 YAZ-KIŞ ORTA KAT DAİRE,İstanbul,Adalar,Büyükada-Maden,17.12.2018,2+1,70 m²,1.800 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31788012
4387-1074,BÜYÜKADADA GÖKHANDAN 3+1 BAHÇE KATI DAİRE,İstanbul,Adalar,Büyükada-Nizam,20.12.2018,3+1,100 m²,1.750 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/28099477
96953-70,"ANADOLU EMLAKTAN, BÜYÜKADA DA, DENİZE VE İSKELEYE YAKIN 140 M2",İstanbul,Adalar,Büyükada-Maden,19.12.2018,3+1,140 m²,3.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31931755
96953-58,Büyükadada 10000 TL YE YAZLIK Daire,İstanbul,Adalar,Büyükada-Maden,21.12.2018,2+1,65 m²,12.500 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31077691
4387-1199,MÜSTAKİL ÖZELLİKLİ BAHÇELİ MANZARALI KAT,İstanbul,Adalar,Büyükada-Maden,14.12.2018,3+1,135 m²,7.500 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32331935
26825-658,MERKEZE YAKIN FUL EŞYALI DOĞALGAZLI YAZKIŞLIK 2+1 ÜSTKAT DAİRE,İstanbul,Adalar,Büyükada-Maden,08.12.2018,2+1,70 m²,1.500 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32404808
82579-530,BÜYÜKADA EMLAK'TAN 750 M2 ARSA İÇİNDE MÜSTAKİL EV,İstanbul,Adalar,Büyükada-Maden,04.12.2018,3+1,100 m²,2.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32365934
10098-271,BÜYÜK ADA TİVOLİS EMLAKDAN KİRALIK DAİRE,İstanbul,Adalar,Büyükada-Nizam,19.12.2018,3+1,100 m²,12.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/30916242
82579-484,BÜYÜKADA EMLAK'TAN 4+1 SÜPER DENİZ MANZARALI DUBLEKS,İstanbul,Adalar,Büyükada-Maden,08.12.2018,4+1,160 m²,2.600 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31987078
10098-263,BÜYÜKADA TİVOLİS EMLAKTAN KİRALIK BAHÇE KATI,İstanbul,Adalar,Büyükada-Maden,19.12.2018,2+1,90 m²,2.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/30187521
1324-765,BÜYÜKADA GLOBE EMLAK 'TAN DENİZ MANZARALI 4+1 150M2 DUBLEX DAİRE,İstanbul,Adalar,Büyükada-Maden,12.12.2018,4+1,150 m²,30.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31264862
1324-764,BÜYÜKADA GLOBE EMLAK'TAN 3+1 KİRALIK BAHÇEKATIDAİR,İstanbul,Adalar,Büyükada-Maden,15.12.2018,3+1,120 m²,2.400 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31192795
1324-797,BÜYÜKADA GLOBE EMLAK'TAN KUMSAL'DA 2+1 KİRALIK DAİRE,İstanbul,Adalar,Büyükada-Maden,30.10.2018,2+1,80 m²,1.600 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32145224
82579-505,BÜYÜKADA EMLAK'TAN MÜSTAKİL GİRİŞLİ KEYİFLİ BAHÇE KATI,İstanbul,Adalar,Büyükada-Maden,03.12.2018,2+1,80 m²,2.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32180051
4387-977,BÜYÜKADADA GÖKHANDAN YAKIN 3+1 YILLIKBAHÇEKATI,İstanbul,Adalar,Büyükada-Nizam,14.12.2018,3+1,90 m²,2.600 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/23420560
0-32381834,Büyükada Temenna Sokak Giriş Katı,İstanbul,Adalar,Büyükada-Nizam,04.12.2018,1+1,60 m²,1.400 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-sahibinden/detay/32381834
82579-470,BÜYÜKADA EMLAK'TAN 3+1 DOĞA VE DENİZ MANZARALI ARA KAT,İstanbul,Adalar,Büyükada-Nizam,12.12.2018,3+1,100 m²,2.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/31589171
39631-511,BÜYÜKADA ÇANKAYA'DA SÜPER LÜKS YALI DAİRESİ,İstanbul,Adalar,Büyükada-Nizam,04.12.2018,3+1,220 m²,50.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/25806189
82579-385,Büyükada Emlak'tan Sedef Adası Manzaralı Müstakil Bahçeli Daire,İstanbul,Adalar,Büyükada-Maden,03.12.2018,3+1,170 m²,9.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/28076063
82579-512,BÜYÜKADA EMLAK'TAN 2+1 KEYİFLİ ÇATI KATI yaz-kış,İstanbul,Adalar,Büyükada-Maden,03.12.2018,2+1,90 m²,1.800 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32248299
1324-761,BÜYÜKADA GLOBE EMLAK'TAN HAVUZLU SİTEDE 3+1 BAHÇEKATI YAZLIK,İstanbul,Adalar,Büyükada-Maden,11.11.2018,3+1,100 m²,26.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31081107
10098-224,BÜYÜKADA TİVOLİS EMLAK KİRALIK YAZLIK DAİRE,İstanbul,Adalar,Büyükada-Nizam,19.12.2018,4+1,180 m²,40.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/25651389
54895-326,PLANET'TEN HAVUZLU BAHÇELİ RIHTIMLI KIŞ-YAZ SENELİK KİRALIK,İstanbul,Adalar,Büyükada-Nizam,04.12.2018,3+1,180 m²,4.500 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/20959583
5187-1427,DRAMALI EMLAKTAN HEYBELİ ADADA DENİZ MANZARALI 4+1 150M2,İstanbul,Adalar,Heybeliada,04.12.2018,4+1,150 m²,2.350 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-heybeliada-emlakcidan-daire/detay/27953666
82579-264,BÜYÜKADA EMLAK'TAN SİTE İÇİNDE KEYİFLİ DUBLEX sezonluk,İstanbul,Adalar,Büyükada-Nizam,03.12.2018,3+1,160 m²,35.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/26030257
1324-760,BÜYÜKADA GLOBE EMLAK'TAN HAVUZLU 3 ODA 1 SALON KİRALIK YAZLIK,İstanbul,Adalar,Büyükada-Nizam,14.11.2018,3+1,120 m²,15.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/31075999
2783-1783,NETA'DAN BÜYÜKADA'DA BAHÇE İÇİNDE DUBLEKS KİRALIK TAŞ EV,İstanbul,Adalar,Büyükada-Nizam,01.12.2018,6+1,200 m²,10.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/31476417
1324-778,BÜYÜKADA GLOBE EMLAK'TAN 4+1 DENİZ ORMAN MANZARALI DUBLEX DAİRE,İstanbul,Adalar,Büyükada-Maden,15.12.2018,4+1,160 m²,2.800 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31702539
54895-566,PLANET'TEN DENİZ MANZARALI DOĞALGAZLI 2+1 DAİRE,İstanbul,Adalar,Büyükada-Maden,27.10.2018,2+1,75 m²,1.350 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/28598929
4387-882,BÜYÜKADADA GÖKHANDAN YAZLIK HAV.LU MANZ.LI YALI DAİRESİ,İstanbul,Adalar,Büyükada-Nizam,14.12.2018,4+1,150 m²,65.800 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/21191012
1324-796,BÜYÜKADA GLOBE EMLAK'TAN KUMSAL'DA 3+1 YÜKSEK GİRİŞ BAHÇE KATI,İstanbul,Adalar,Büyükada-Maden,28.10.2018,3+1,120 m²,2.600 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32131755
54895-613,"PLANET'TEN GENİŞ DÜZ ALAN BAHÇELİ, HAVUZLU ULTRA LÜX BAHÇEKATI",İstanbul,Adalar,Büyükada-Nizam,28.10.2018,3+1,130 m²,4.500 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/32129952
39631-443,KİRALIK KÖŞK DAİRESİ,İstanbul,Adalar,Büyükada-Maden,02.12.2018,3+1,120 m²,36.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/19439827
82579-76,BÜYÜKADA EMLAK'TAN KİRALIK 200 m2 DENİZ MANZARALI 4+1 DUBLEKS,İstanbul,Adalar,Büyükada-Maden,03.12.2018,4+1,200 m²,2.600 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/23665666
1324-705,BÜYÜKADA GLOBE EMLAK'TAN DENİZ MANZARALI KİRALIK YAZLIK,İstanbul,Adalar,Büyükada-Nizam,17.11.2018,3+1,120 m²,18.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/29319865
54895-229,PLANET'TEN İSKELEYE 15 DKKA ORMAN VE DENİZ MANZARALI YAZLIK,İstanbul,Adalar,Büyükada-Nizam,04.12.2018,2+1,90 m²,25.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/17781994
96953-24,MERKEZDE 20000 TL YE YAZLIK KİRALIK EŞYALI DAİRE,İstanbul,Adalar,Büyükada-Maden,08.12.2018,2+1,95 m²,20.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/30238164
82579-182,BÜYÜKADA EMLAK'TAN TERRACE LİDO DA 2+1 HARİKA DAİRE,İstanbul,Adalar,Büyükada-Nizam,03.12.2018,2+1,120 m²,7.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/25200088
82579-107,BÜYÜKADA EMLAK'TAN HAVUZLU TERASLI DUBLEKS yaz-kış,İstanbul,Adalar,Büyükada-Maden,03.12.2018,3+1,150 m²,2.500 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/23849179
82579-292,BÜYÜKADA EMLAK'TAN DENİZ MANZARALI TERAS KATI yazlık,İstanbul,Adalar,Büyükada-Maden,03.12.2018,3+1,100 m²,17.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/26262461
82579-498,BÜYÜKADA EMLAK'TAN KEYİFLİ HAVUZLU BAHÇE KATI,İstanbul,Adalar,Büyükada-Nizam,03.12.2018,3+1,110 m²,4.500 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/32092398
82579-515,BÜYÜKADA EMLAK'TAN DOĞALGAZLI DNZ MANZARALI 2+1 ÜST KAT,İstanbul,Adalar,Büyükada-Maden,03.12.2018,2+1,75 m²,1.350 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32251473
1324-759,BÜYÜKADA GLOBE EMLAK'TAN ÇINAR MEYDANINA YAKIN YAZLIK DAİRE,İstanbul,Adalar,Büyükada-Maden,24.11.2018,2+1,75 m²,20.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31070815
82579-511,BÜYÜKADA EMLAK'TAN 2+1 KEYİFLİ ÇATI KATI sezonluk,İstanbul,Adalar,Büyükada-Maden,03.12.2018,2+1,90 m²,17.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32248270
82579-523,Büyükada Emlak'tan sezonluk kiralık bahçe katı,İstanbul,Adalar,Büyükada-Nizam,03.12.2018,2+1,85 m²,15.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/32287157
54895-292,"PLANET'TEN DENİZ MANZARALI, HAVUZLU, BAHÇELİ, RIHTIMLI SEZONLUK",İstanbul,Adalar,Büyükada-Nizam,28.10.2018,4+2,240 m²,99.900 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/19663073
82579-524,BÜYÜKADA EMLAK'TAN MERKEZDE 2+1 EŞYALI VEYA EŞYASIZ DAİRE,İstanbul,Adalar,Büyükada-Nizam,03.12.2018,2+1,90 m²,2.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/32287277
54895-500,PLANET'TEN FULL DENİZ MANZARALI EŞYALI KIŞ YAZ KİRALIK DUBLEKS,İstanbul,Adalar,Büyükada-Maden,04.12.2018,4+1,160 m²,2.600 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/25843794
2783-1343,NETA'DAN BÜYÜKADA'DA MANZARALI EŞYALI KİRALIK DAİRE,İstanbul,Adalar,Büyükada-Nizam,01.12.2018,4+1,240 m²,3.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/18352587
82579-504,BÜYÜKADA EMLAK'TAN PANORAMİK DENİZ MANZARALI LÜKS DAİRE,İstanbul,Adalar,Büyükada-Maden,03.12.2018,2+1,90 m²,2.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32179966
82579-459,BÜYÜKADA EMLAK'TAN MERKEZDE 3+1 KEYİFLİ DAİRE,İstanbul,Adalar,Büyükada-Maden,03.12.2018,3+1,110 m²,2.700 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/30790237
39631-242,"FULL DENİZ MANZARALI, SÜPER LÜKS DUBLEKS",İstanbul,Adalar,Büyükada-Nizam,01.12.2018,4+1,144 m²,90.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/11320009
39631-424,HEYBELİADA İSKELEDE YOL YALISI DAİRE,İstanbul,Adalar,Heybeliada,10.11.2018,1+1,50 m²,12.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-heybeliada-emlakcidan-daire/detay/18447779
1324-757,BÜYÜKADA GLOBE EMLAK'TAN TARİHİ BİNADA KİRALIK YAZLIK,İstanbul,Adalar,Büyükada-Nizam,28.11.2018,2+1,85 m²,15.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/31007276
26825-582,MERKEZDE İSKELEYE DÜZAYAK YÜRÜME MESAFESİNDE YAZLIK 2+1 DAİRE,İstanbul,Adalar,Büyükada-Nizam,12.11.2018,2+1,65 m²,9.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/30940348
1324-792,BÜYÜKADA GLOBE EMLAK'TAN 2+1 KİRALIK DENİZ MANZARALI DAİRE,İstanbul,Adalar,Büyükada-Nizam,11.12.2018,2+1,80 m²,2.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/32008912
26825-610,KUMSALDA DÜZ AYAK MERKEZE 5 DK MESAFEDE YAZKIŞLIK 3+1 ORTAKAT DA,İstanbul,Adalar,Büyükada-Maden,12.11.2018,3+1,160 m²,2.700 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31505829
26825-650,MERKEZE ÇOK YAKIN FUL EŞYALI YAZLIK 3+1 MÜSTAKİL ASIRLIK BİNA,İstanbul,Adalar,Büyükada-Nizam,13.11.2018,3+1,130 m²,25.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/32242112
82579-429,UYGUN FİYATA 2+1 DOĞALGAZLI KİRALIK DAİRE yaz-kış,İstanbul,Adalar,Büyükada-Maden,03.12.2018,2+1,75 m²,1.350 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/28988777
39631-231,ŞAHANE DENİZ MANZARALI EŞYALI TEMİZ YALI DAİRESİ,İstanbul,Adalar,Büyükada-Maden,10.12.2018,3+1,145 m²,30.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/10665926
82579-317,BÜYÜKADA EMLAK'TAN MÜKEMMEL DENİZ DOĞA HAVUZ MANZARALI DUBLEKS,İstanbul,Adalar,Büyükada-Nizam,03.12.2018,4+2,220 m²,100.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/26758293
82579-508,SIFIR BİNADA DNZ MANZARALI BAHÇEKATI YALI DAİRESİ yaz-kış,İstanbul,Adalar,Büyükada-Maden,03.12.2018,3+1,140 m²,3.250 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32228042
26825-537,ŞEMSİMOLLA'DA 2+1 100 M2 MUHTEŞEM MANZARALI ORTA KAT DAİRE,İstanbul,Adalar,Büyükada-Nizam,12.11.2018,2+1,100 m²,2.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/30238049
54895-298,PLANET'TEN ADANIN EN GÖZDE KÖŞKÜNDE 4+1 VİP KAT DAİRE YAZLIK,İstanbul,Adalar,Büyükada-Nizam,28.10.2018,4+1,220 m²,24.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/19764032
54895-569,PLANET'TEN İSKELEYE 5 DKKA MESAFEDE LÜX 3+1 BAHÇEKATI DAİRE,İstanbul,Adalar,Büyükada-Maden,10.11.2018,3+1,145 m²,2.600 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/29608267
39631-353,"NİZAM'DA, İŞYERİNE UYGUN KİRALIK DAİRE",İstanbul,Adalar,Büyükada-Nizam,28.10.2018,2+1,65 m²,15.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/15515029
39631-228,KUMSAL'DA SÜPER DENİZ MANZARALI KİRALIK DAİRE,İstanbul,Adalar,Büyükada-Maden,07.11.2018,4+1,150 m²,2.500 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/10610881
26825-313,MERKEZE 10DK MESAFEDE FUL EŞYALI YAZLIK 2+1 ORTAKAT DAİRE,İstanbul,Adalar,Büyükada-Nizam,08.11.2018,2+1,80 m²,15.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/21323216
82579-502,BÜYÜKADA EMLAK'TAN DENİZE 1 DK. 2+1 DAİRE,İstanbul,Adalar,Büyükada-Maden,03.12.2018,2+1,70 m²,1.600 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32160063
